regime,side,trades,avg_pnl,win_rate
Fear,BUY,8475,180.97835505238936,30.041297935103245
Fear,SELL,7720,32.361911934715025,44.43005181347151
Greed,BUY,7068,14.106951902518393,30.022637238256934
Greed,SELL,9845,169.30607132199086,60.01015744032504
Neutral,BUY,1020,12.484274233333334,32.64705882352941
Neutral,SELL,1736,35.66980545046083,59.38940092165899
